Layer,EntityType,GeometryType,VertexIndex,VertexCount,X,Y,Z,CoordinateSystem,IsClosed,Length_m,Area_sqm,Radius,Bulge,Rotation,Color,Notes,SourceFile,SourceFolder
M1200,LWPOLYLINE,Polygon,0,8,229458.721,717863.276,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,8,229495.47,717887.94,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,8,229463.7,717913.91,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,8,229197.76,717754.69,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,8,229226.237,717729.519,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,8,229347.836,717799.219,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,8,229354.891,717803.263,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,7,8,229426.442,717843.517,0,IG05/12,Yes,701.492,12125.04,,0,,BYLAYER,,06516-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,25,222613.297,730529.312,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,25,222619.203,730521.312,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,25,222643.094,730528.125,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,25,222648.594,730528.5,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,25,222652.906,730527.188,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,25,222659.703,730520.812,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,25,222693.797,730476.125,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,7,25,222705,730471.375,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,8,25,222702.203,730453.688,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,9,25,222703.906,730400.375,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,10,25,222704,730397.812,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,11,25,222696.797,730383.5,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,12,25,222666.297,730368.312,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,13,25,222632.594,730376.125,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,14,25,222626,730354.312,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,15,25,222623.406,730361.125,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,16,25,222502.797,730418,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,17,25,222446.594,730443.312,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,18,25,222489.703,730454.875,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,19,25,222490,730481.375,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,20,25,222537.406,730478.125,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,21,25,222557.094,730494.875,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,22,25,222565.297,730500.688,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,23,25,222585.797,730507.875,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,24,25,222613.297,730529.312,0,IG05/12,Yes,717.217,25308.87,,0,,BYLAYER,,06946-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,11,233975.66,719884.35,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,11,233948.58,719863.83,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,11,234020.61,719603.09,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,11,234023.473,719577.135,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,11,234025.661,719557.295,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,11,233991.8,719498.35,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,11,233994.95,719496.894,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,7,11,234104.44,719446.28,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,8,11,234172.924,719414.711,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,9,11,234179.19,719435.39,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,10,11,234080.532,719494.733,0.35,IG05/12,Yes,1158.259,18629.93,,0,,BYLAYER,,07970-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,10,216725.993,732745.04,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,10,216787.835,732795.482,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,10,216810.942,732814.329,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,10,216733.28,733061.39,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,10,216721.733,733097.995,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,10,216704.71,733152.02,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,10,216678.401,733143.627,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,7,10,216706.55,733052.97,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,8,10,216707.099,733051.203,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,9,10,216723.856,732780.358,0,IG05/12,Yes,894.768,19949.69,,0,,BYLAYER,,08769-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,7,228466.81,717122.18,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,7,228298.32,717293.28,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,7,228286.341,717250.402,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,7,228455.127,717080.226,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,7,228513.281,717065.753,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,7,228523.201,717098.639,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,7,228524,717106.8,0,IG05/12,Yes,686.038,11759.73,,0,,BYLAYER,,08807-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,5,227089.269,723923.362,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,5,227084.17,723913.739,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,5,227081.177,723908.091,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,5,227112.882,723890.99,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,5,227121.039,723906.224,0,IG05/12,Yes,106.684,623.17,,0,,BYLAYER,,10683-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,4,226968.4,724297.71,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,4,226945.365,724310.065,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,4,226934.262,724288.869,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,4,226957.309,724276.535,0,IG05/12,Yes,100.111,625.13,,0,,BYLAYER,,10875-281-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,6,248395.69,749724.206,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,6,248288.457,749732.174,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,6,248250.507,749668.658,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,6,248173.073,749672.091,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,6,248172.036,749512.675,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,6,248244.276,749472.774,0,IG05/12,Yes,794.478,30976.69,,0,,BYLAYER,,10952-85-RZ-NEW,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,7,228219.02,728714.493,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,1,7,228262.904,728772.024,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,2,7,228244.108,728789.204,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,3,7,228180.322,728748.361,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,4,7,227908.84,728583.46,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,5,7,228020.995,728552.287,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,6,7,228162.958,728641.421,0.5,IG05/12,Yes,867.336,25446.88,,0,,BYLAYER,,11147-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
M1200,LWPOLYLINE,Polygon,0,7,237269.888,718680.781,53.83,IG05/12,Yes,96.17,410.95,,0,,BYLAYER,,11922-RZ,D:\לימודים אקדמיים\מדידות וגיאודזיה\תשפ''ו\סמסטר ב' תשפ''ו\מתמטיקה במדידות\חילוץ מהיר
